"SZ" "BT" "TLC" "TUC" "TNZ"
"Apodemus_hermonensis" 20.5 38.9 28 NA NA
"Tamiasciurus_hudsonicus" 229 38.7 20 NA NA
"Spermophilus_variegatus" 656 36.7 20 NA NA
"Spermophilus_parryii" 750 37 18 36 18
"Spermophilus_lateralis" 257 36.3 23 30 7
"Spermophilus_beecheyi" 600 37.6 25 30 5
"Tamias_striatus" 92 38.2 28.5 32 3.5
"Marmota_marmota" 3349 36.7 20 NA NA
"Marmota_monax" 6000 37 20 NA NA
"Mormota_flaviventris" 5000 36.7 10.5 NA NA
"Octomys_mimax" 118.6 36.7 22.2 NA NA
"Tympanoctomys_barrerae" 71.4 35.7 24.8 NA NA
"Octodon_degus" 180 37.6 24 NA NA
"Lagidium_viscacia" 2055 36.7 18.4 NA NA
"Chinchilla_chinchilla" 454 37.6 22 NA NA
"Steatomys_pratensis" 37.5 32.9 28 32 4
"Saccostomus_campestris" 78.1 35.3 26 34 8
"Geomys_pinetis" 203 36.3 25 NA NA
"Nannospalax_leucodon" 208 36.3 25 NA NA
"Tachyoryctes_splendens" 234 35.9 27 NA NA
"Erethizon_dorsatum" 5530 37.5 7 NA NA
"Heliophobius_argenteocinereus" 89 34 28 NA NA
"Pedetes_capensis" 3450 35.9 15 25 10
"Zapus_hudsonius" 19 37.3 32 NA NA
"Aplodontia_rufa" 700 38 19 NA NA
"Cavia_porcellus" 295 39 21 NA NA
"Macroscelides_proboscideus" 39 36.2 35 NA NA
"Elephantulus_edwardii" 50 37.6 32.5 36 3.5
"Lepus_americanus" 1581 39.8 10 NA NA
"Lepus_alleni" 3000 37.9 20 NA NA
"Lepus_californicus" 2300 39.2 14 NA NA
"Lepus_townsendii" 2430 38.2 11 NA NA
"Brachylagus_idahoensis" 432 38.2 17.5 25.5 8
"Heterohyrax_brucei" 2000 36.7 24 NA NA
"Procavia_capensis" 2630 37 15 NA NA
"Procavia_johnstoni" 2750 39 10 NA NA
"Erinaceus_europaeus" 749 34 27.5 NA NA
"Hemiechinus_auritus" 397 33.8 30 NA NA
"Hemiechinus_aethiopicus" 453 34.2 30 NA NA
"Hylomys_suillus" 67 37.2 31 NA NA
"Sorex_minutus" 5.1 38.5 25 28 3
"Sorex_vagrans" 5.2 38 32 NA NA
"Sorex_cinereus" 3.5 38.4 25 30 5
"Sorex_coronatus" 9.4 37.6 27 NA NA
"Sorex_araneus" 7.5 38 35 NA NA
"Notiosorex_crawfordi" 4 37.6 32 36 4
"Neomys_anomalus" 13.4 38 25 30 5
"Neomys_fodiens" 14.2 37.3 25 30 5
"Blarina_brevicauda" 20.5 38.3 27 31 4
"Suncus_murinus" 52 38.7 27 NA NA
"Neurotrichus_gibbsii" 11.8 38.4 25 32 7
"Condylura_cristata" 55 37.7 24.5 33 8.5
"Equus_caballus" 5e+05 38 5 25 20
"Sus_scrofa" 48000 38 4 22 18
"Bison_bison" 8e+05 38 -40.8 NA NA
"Ovis_orientalis_aries" 50000 38 9 20 11
"Ovis_dalli" 55000 38 -20 NA NA
"Capra_hircus" 21000 38 9 30 21
"Rangifer_tarandus" 64500 38 5 NA NA
"Cervus_elaphus" 5e+05 38 -30.8 NA NA
"Odocoileus_virginianus" 65000 38 -19.9 NA NA
"Lama_guanicoe" 75000 38 -15.5 NA NA
"Alopex_lagopus" 3970 37.5 5 NA NA
"Vulpes_vulpes" 4440 38.7 8 NA NA
"Canis_lupus" 45000 37.5 -20 NA NA
"Canis_mesomelas" 7500 38 14.9 NA NA
"Lycaon_pictus" 30000 37.5 9.2 NA NA
"Procyon_lotor" 4400 38 20 NA NA
"Procyon_cancrivorus" 1160 37.6 26 NA NA
"Nasua_nasua" 3850 36.4 25 33 8
"Nasua_narica" 5554 38.6 25 35 8
"Potos_flavus" 2600 36.1 23 33 10
"Mustela_sibirica" 540 37.5 17.5 NA NA
"Proteles_cristatus" 8100 36.4 23.2 NA NA
"Ursus_americanus" 165000 37.5 -30 NA NA
"Taxidea_taxus" 9000 38 10 NA NA
"Callithrix_pygmaea" 138 35.4 27.5 35 7.5
"Aotus_trivirgatus" 800 38 28 30 2
"Microcebus_murinus" 105 36.2 25 28 3
"Tarsius_syrichta" 125 33.8 32 35 3
"Cercopithecus_mitis" 5000 37.5 20 25 5
